text,aspect,sentiment
Literally only place I get my shoes,brand satisfaction,1
Will not let me login,account access,0
Easy to use and price is good,ease of use,1
Easy to use and price is good,pricing value,1
I get out of tremendous trouble!,support attitude,1
Great for using abroad. I use it in Europe and have my children use it for school trips abroad. Easy way to track their spending. Top up when required etc..,brand satisfaction,1
Great for using abroad. I use it in Europe and have my children use it for school trips abroad. Easy way to track their spending. Top up when required etc..,delivery speed,1
Great app and great card for traveling with no fees and better exchange rates.,ease of use,1
Great app and great card for traveling with no fees and better exchange rates.,app performance,1
Great app and great card for traveling with no fees and better exchange rates.,pricing value,1
Lowers prices ever found on the market,pricing value,1
Lowers prices ever found on the market,competitor comparison,1
what is that 0.05 for? I thought this was a 0 commision app?,app performance,0
what is that 0.05 for? I thought this was a 0 commision app?,pricing value,0
This is a great app for people wanting to get started in investing.,app performance,1
This is a great app for people wanting to get started in investing.,brand satisfaction,1
Online shop done in 5 mins compared to the 60 mins in store experience,ease of use,1
Online shop done in 5 mins compared to the 60 mins in store experience,delivery speed,1
Very easy to input info . Easy to compare different quotes and types of cover available. Direct link to insurer with info forwarded.,ease of use,1
Very easy to input info . Easy to compare different quotes and types of cover available. Direct link to insurer with info forwarded.,app performance,1
"To be honest, the shoes look really good. I watched it for a long time before, but I didn't shoot it. This time there is a discount, and I took it decisively.",pricing discounts,1
"To be honest, the shoes look really good. I watched it for a long time before, but I didn't shoot it. This time there is a discount, and I took it decisively.",brand satisfaction,1
"Brilliant having the app So easy, great benefits I just love it",ease of use,1
"Brilliant having the app So easy, great benefits I just love it",app performance,1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",app performance,1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",brand satisfaction,1
"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.",pricing value,1
"It was quiet at night which is great for sleeping. The staff were ready to do whatever they could to make us comfortable. Breakfasts were very good and staff were very helpful and kind, going as far as arranging all the needed things I recommend this place",support attitude,1
"It was quiet at night which is great for sleeping. The staff were ready to do whatever they could to make us comfortable. Breakfasts were very good and staff were very helpful and kind, going as far as arranging all the needed things I recommend this place",brand satisfaction,1
Not very informative. You have to guess anything other than exchanging currencies,app performance,0
Not very informative. You have to guess anything other than exchanging currencies,ease of use,0
The best department store app thus far,brand satisfaction,1
The best department store app thus far,competitor comparison,1
Last update seems to have finally sorted annoying issues with the App,app performance,1
Really wonderful site very helpful saved my money and time. Thanks,app performance,1
Really wonderful site very helpful saved my money and time. Thanks,pricing value,1
Reminded me and came up with the goods,support attitude,1
"In addition to two crashes, I often can't execute the transaction. There is an instruction to click here to refresh, and then click the same to not trade.",app performance,0
Shipping faster. Goods corresponded exactly to the online description. No defects. Super satisfied,brand satisfaction,1
Shipping faster. Goods corresponded exactly to the online description. No defects. Super satisfied,delivery speed,1
I found a great ball.,brand satisfaction,1
"Great functionality, great app, no issues, fully recommended. Loving the metal card.",ease of use,1
"Great functionality, great app, no issues, fully recommended. Loving the metal card.",app performance,1
Won't update with the information on the website.,app performance,0
I love sneakers. So its Good with me,brand satisfaction,1
"Everything is very fast, everything came up!) Thank you very much)",brand satisfaction,1
"Everything is very fast, everything came up!) Thank you very much)",delivery speed,1
it is confuseing but got there in the end,ease of use,0
Great. I have all my payment info stored. Very easy and convenient,ease of use,1
Great. I have all my payment info stored. Very easy and convenient,brand satisfaction,1
How easy was this great app. Xx,ease of use,1
How easy was this great app. Xx,app performance,1
Love fast easy website and service,app performance,1
Love fast easy website and service,delivery speed,1
"Not a shop goes by where I don't encounter a problem with this app. It is forever freezing to the point I have to close it down and pray it has saved the shop I have been doing for the past half hour. It stops when I try and add items to my basket, and has problems when trying to process a payment, and then forces me to the website to attempted complete the transaction. Not really an enjoyable or stress free way to shop!!",app performance,0
"Not a shop goes by where I don't encounter a problem with this app. It is forever freezing to the point I have to close it down and pray it has saved the shop I have been doing for the past half hour. It stops when I try and add items to my basket, and has problems when trying to process a payment, and then forces me to the website to attempted complete the transaction. Not really an enjoyable or stress free way to shop!!",ease of use,0
"Awesome services, easy to use. Great for travelling. I paid subscription for theetal card and must say I am impressed. The card looks great, also using it aboard could not be easier.",ease of use,1
"Awesome services, easy to use. Great for travelling. I paid subscription for theetal card and must say I am impressed. The card looks great, also using it aboard could not be easier.",brand satisfaction,1
It does not show the traffic,app performance,0
So user friendly! Love it!,app performance,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",support attitude,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",ease of use,1
"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.",brand satisfaction,1
All the perfect sizes and products. And it has arrived in just two days!,brand satisfaction,1
All the perfect sizes and products. And it has arrived in just two days!,delivery speed,1
Nice UI and great functionality.,app performance,1
I always use it to make reservations; inside and outside the country.,brand satisfaction,1
Wish they can release iPadOS version.,app performance,0
Generally in happy with the app and don't have complained.,app performance,1
Good application .. although I think it could be better ..,app performance,1
Once you've used this site you will receive spam emails for ever! I have used their unsubscribe function and written to customer services on multiple occasions asking to be removed from their database. They promise to remove my details but the emails keep coming. I have now reported them to the Information Commissioner's Office.,app performance,0
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and avoid CGT liability. I question also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,support attitude,0
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and avoid CGT liability. I question also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,pricing value,0
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and avoid CGT liability. I question also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,competitor comparison,0
The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and avoid CGT liability. I question also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,brand satisfaction,0
"Can only use it for getting the codes and seeing times or what's on etc. Cannot book as won't let you book seats unless you go for VIP seats, so bit of a swizz, so you miss out on decent seats :0(",app performance,0
App is sooo easy to use. Especially favourites,ease of use,1
App is sooo easy to use. Especially favourites,app performance,1
Very friendly staff and lovley location,support attitude,1
Easy to use and great discounts,ease of use,1
Easy to use and great discounts,pricing value,1
All of my information came up automatically from last year which saved so much time. I saved nearly £200.00 on my existing insurer. Happy days.,pricing value,1
"I believe they're coming, but at the moment, there are no facilities to DRIP or create automatic regular buys. Also, once you open a CFD account, you cannot close it, without closing your Invest and ISA accounts too. Funny that",account access,0
"I believe they're coming, but at the moment, there are no facilities to DRIP or create automatic regular buys. Also, once you open a CFD account, you cannot close it, without closing your Invest and ISA accounts too. Funny that",brand satisfaction,0
Thanks for the helpful stats and tools. And thank you for helping me learn. Best wishes!! :),brand satisfaction,1
Happy to find the last minute hotel,brand satisfaction,1
Lot's of choices for cut price meals here. App says some restaurants need no prior warning that you are using MM. This is is not the case as we found out at Frankie and Bennys. Always tell the server when ordering that you are using MM.,app performance,0
Best way to shop great sales,pricing discounts,1
Best way to shop great sales,competitor comparison,1
I always get great deals.,pricing value,1
"It was really easy and fast to set depart and arrive destinations. Had trouble trying to call the driver though, call cut. But I liked the practicity anyway.",ease of use,1
"It was really easy and fast to set depart and arrive destinations. Had trouble trying to call the driver though, call cut. But I liked the practicity anyway.",delivery speed,1
Why is the draining my battery even when I'm not using it? I don't want it running in the background - I just want it to run when I launch it.,app performance,0
as a public i am very happy. save my money and time .thanks to ubsr,pricing value,1
"It is so easy to use this app to do the grocery shop, saves time and hassle of going out to the supermarket.",ease of use,1
"It is so easy to use this app to do the grocery shop, saves time and hassle of going out to the supermarket.",app performance,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",ease of use,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",pricing value,1
"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.",competitor comparison,1
M urgy and I never got the rate,support attitude,0
M urgy and I never got the rate,pricing value,0
Since 10 sending messages and no one answers .....,support attitude,0
"Delivery is very fast! I ordered sneakers and bags and this and that is just class! The bag pleased me, but I was just delighted with the sneakers, soft and light despite the massive appearance! Thank!",brand satisfaction,1
"Delivery is very fast! I ordered sneakers and bags and this and that is just class! The bag pleased me, but I was just delighted with the sneakers, soft and light despite the massive appearance! Thank!",delivery speed,1
Quick results and good value for money,pricing value,1
Quick results and good value for money,delivery speed,1
easy to load and manage my points,pricing discounts,1
easy to load and manage my points,ease of use,1
easy to load and manage my points,delivery speed,1
So easy to order online,ease of use,1
So easy to order online,app performance,1
"Nicola... North East. Thank you soooooo much for all of your help today. You were fabulous. Having experienced a very bad response from my energy supplier, you made changing over to a new one quick and easy. Your email was received promptly with all relevant information on and in an easy and understandable layout. Nicola...you rock!!",support attitude,1
"Nicola... North East. Thank you soooooo much for all of your help today. You were fabulous. Having experienced a very bad response from my energy supplier, you made changing over to a new one quick and easy. Your email was received promptly with all relevant information on and in an easy and understandable layout. Nicola...you rock!!",ease of use,1
It is literally too early to buy things.,brand satisfaction,1
"Very good application and very intuitive, it works very well",ease of use,1
"Very good application and very intuitive, it works very well",app performance,1
"great for booking flights and Hotels, no so good for finding good restaurants",app performance,0
I consider it good ... somewhat expensive but good quality products I love this store.It is my favorite,brand satisfaction,1
I consider it good ... somewhat expensive but good quality products I love this store.It is my favorite,pricing value,1
I consider it good ... somewhat expensive but good quality products I love this store.It is my favorite,competitor comparison,1
"Great for browsing your favourites, easy navigate. Great product range. Quick order and delivery service. Only one tiny thing was I couldn't access my profile easily on the app, there is no response when i click on it, but only a small functionality issue. My pocket is a lot lighter as a result of his app LOVE IT",account access,0
