text,aspect,sentiment
Literally only place I get my shoes,brand.satisfaction,1
Will not let me login,account.access,-1
Easy to use and price is good,experience.ease-of-use,1
Easy to use and price is good,pricing.value,1
I find this app easy to use and with an extensive filter. I also like that it keeps track of coupons and deals automatically and that you can link your [BRAND] card.,experience.ease-of-use,1
I find this app easy to use and with an extensive filter. I also like that it keeps track of coupons and deals automatically and that you can link your [BRAND] card.,app.performance,1
I get out of tremendous trouble! 👏🏻👏🏻👏🏻👏🏻,support.attitude,1
"Agoda's oath likes to be clear so far 2 times the order suddenly canceled with [BRAND] and then the return is clear, already tired of wanting to rest at the hotel no my name so lost 2 times sorry to use [BRAND] do not want responsibility. Then it was also clear on the phone",app.performance,-1
"Agoda's oath likes to be clear so far 2 times the order suddenly canceled with [BRAND] and then the return is clear, already tired of wanting to rest at the hotel no my name so lost 2 times sorry to use [BRAND] do not want responsibility. Then it was also clear on the phone",experience.ease-of-use,-1
"Agoda's oath likes to be clear so far 2 times the order suddenly canceled with [BRAND] and then the return is clear, already tired of wanting to rest at the hotel no my name so lost 2 times sorry to use [BRAND] do not want responsibility. Then it was also clear on the phone",brand.satisfaction,-1
Great for using abroad. I use it in Europe and have my children use it for school trips abroad. Easy way to track their spending. Top up when required etc..,brand.satisfaction,1
Great for using abroad. I use it in Europe and have my children use it for school trips abroad. Easy way to track their spending. Top up when required etc..,delivery.speed,1
"If you think about getting an account at [BRAND], think again! They are extremely slow in verifying an account and pay out money, even a simple refund takes ages. They have kept $300 since I wanted to invest somewhere else. These money are now locked up in [BRAND] land, with only ""bare with us while we look into your case""-emails for contact. Frustrating.",account.access,-1
"If you think about getting an account at [BRAND], think again! They are extremely slow in verifying an account and pay out money, even a simple refund takes ages. They have kept $300 since I wanted to invest somewhere else. These money are now locked up in [BRAND] land, with only ""bare with us while we look into your case""-emails for contact. Frustrating.",experience.ease-of-use,-1
"If you think about getting an account at [BRAND], think again! They are extremely slow in verifying an account and pay out money, even a simple refund takes ages. They have kept $300 since I wanted to invest somewhere else. These money are now locked up in [BRAND] land, with only ""bare with us while we look into your case""-emails for contact. Frustrating.",delivery.speed,-1
Great app and great card for traveling with no fees and better exchange rates.,experience.ease-of-use,1
Great app and great card for traveling with no fees and better exchange rates.,app.performance,1
Great app and great card for traveling with no fees and better exchange rates.,pricing.value,1
Lowers prices ever found on the market,pricing.value,1
Lowers prices ever found on the market,brand.competitor,1
what is that 0.05 for? I thought this was a 0 commision app?,app.performance,-1
what is that 0.05 for? I thought this was a 0 commision app?,pricing.value,-1
This is a great app for people wanting to get started in investing.,app.performance,1
This is a great app for people wanting to get started in investing.,brand.satisfaction,1
Online shop done in 5 mins compared to the 60 mins in store experience,experience.ease-of-use,1
Online shop done in 5 mins compared to the 60 mins in store experience,delivery.speed,1
Very easy to input info . Easy to compare different quotes and types of cover available. Direct link to insurer with info forwarded.,experience.ease-of-use,1
